Unnamed: 0,id,name,cleaned_expression,annot_type
178,179,car contacted by an auto-salon girl,car contacted by an autosalon girl,pres
179,180,an auto-salon girl in a skirt,an autosalon girl in a skirt,pres
180,181,lion dance coat,lion dance coat,pres
181,182,person in the lion dance clothes,person in the lion dance clothes,pres
182,183,an upright lion dance,an upright lion dance,pres
183,184,rock climber in short,rock climber in short,pres
184,185,climber's helmet,climbers helmet,pres
185,186,bare-armed climber,barearmed climber,pres
186,187,torch held by a person,torch held by a person,pres
187,188,person holding a torch,person holding a torch,pres
188,189,burning torch,burning torch,pres
189,190,a butterfly with flat wings,a butterfly with flat wings,pres
190,191,a butterfly resting on flowers,a butterfly resting on flowers,pres
191,192,a butterfly with folded wings resting on a leaf,a butterfly with folded wings resting on a leaf,pres
192,193,airplane with a smoke trail for show,airplane with a smoke trail for show,pres
193,194,the aircraft at the front of the multi-aircraft performance array,the aircraft at the front of the multiaircraft performance array,pres
194,195,a plane flying to the right,a plane flying to the right,pres
195,196,a dog with a frisbee in its mouth,a dog with a frisbee in its mouth,pres
196,197,person with frisbee,person with frisbee,pres
197,198,frisbee in the air,frisbee in the air,pres
198,199,a golfer in a hat,a golfer in a hat,pres
199,200,a person with golf clubs,a person with golf clubs,pres
200,201,golf in the air,golf in the air,pres
201,202,a helicopter flying in the air,a helicopter flying in the air,pres
202,203,helicopter with door open,helicopter with door open,pres
203,204,helicopter viewed from the bottom,helicopter viewed from the bottom,pres
204,205,a well on the ground with its cover open,a well on the ground with its cover open,pres
205,206,well with cover on the ground,well with cover on the ground,pres
206,207,well cover with text on the ground,well cover with text on the ground,pres
207,208,mailbox marked with numbers,mailbox marked with numbers,pres
208,209,red mailbox,red mailbox,pres
209,210,green mailbox,green mailbox,pres
210,211,horned deer,horned deer,pres
211,212,deer bowing to eat grass,deer bowing to eat grass,pres
212,213,running deer,running deer,pres
213,214,crouching kangaroo,crouching kangaroo,pres
214,215,standing kangaroo,standing kangaroo,pres
215,216,a kangaroo that has physical contact with another kangaroo,a kangaroo that has physical contact with another kangaroo,pres
216,217,woodpecker on the side of the trunk,woodpecker on the side of the trunk,pres
217,218,woodpecker pecking,woodpecker pecking,pres
218,219,a woodpecker with only its head exposed,a woodpecker with only its head exposed,pres
219,220,flying eagle,flying eagle,pres
220,221,eagle standing on the branch,eagle standing on the branch,pres
221,222,an eagle with a white head,an eagle with a white head,pres
222,223,half-body dolphin on the water,halfbody dolphin on the water,pres
223,224,a dolphin completely out of the water,a dolphin completely out of the water,pres
224,225,a dolphin doing the same action as other dolphins,a dolphin doing the same action as other dolphins,pres
225,226,a seal in the water,a seal in the water,pres
226,227,a seal on the shore,a seal on the shore,pres
227,228,a seal facing up to the sky,a seal facing up to the sky,pres
228,229,peacock with open screen,peacock with open screen,pres
229,230,fake peacock,fake peacock,pres
230,231,peacock standing on the grass,peacock standing on the grass,pres
231,232,black swan with head facing back,black swan with head facing back,pres
232,233,white swan in the water,white swan in the water,pres
233,234,flying swan,flying swan,pres
234,235,hippo with open mouth in the water,hippo with open mouth in the water,pres
235,236,hippo standing on the bank,hippo standing on the bank,pres
236,237,hippo in potential water,hippo in potential water,pres
237,238,you can see the moon on the crater,you can see the moon on the crater,pres
238,239,partially blocked moon,partially blocked moon,pres
239,240,a house illuminated by the moon,a house illuminated by the moon,pres
240,241,a man in dark glasses,a man in dark glasses,pres
241,242,a pair of sunglasses with eyes exposed on the face,a pair of sunglasses with eyes exposed on the face,pres
242,243,a woman with dark glasses showing her eyes,a woman with dark glasses showing her eyes,pres
243,244,otter in water,otter in water,pres
244,245,otter on the ground,otter on the ground,pres
245,246,an otter with its face up to the sky,an otter with its face up to the sky,pres
246,247,the woman who is hitting the ball in beach volleyball,the woman who is hitting the ball in beach volleyball,pres
247,248,volleyball hit on the beach,volleyball hit on the beach,pres
248,249,volleyball players on the beach with their feet off the ground,volleyball players on the beach with their feet off the ground,pres
249,250,a person who buy things from the food truck on the street,a person who buy things from the food truck on the street,pres
250,251,a street food cart with an umbrella,a street food cart with an umbrella,pres
251,252,staff in the food truck on the street,staff in the food truck on the street,pres
252,253,a person who plays music with musical instrument surrounded by spectators on the street,a person who plays music with musical instrument surrounded by spectators on the street,pres
253,254,a person performing acrobatics surrounded by street audience,a person performing acrobatics surrounded by street audience,pres
254,255,a boxer wearing boxing gloves who is defending,a boxer wearing boxing gloves who is defending,pres
255,256,an attacking boxer wearing boxing gloves,an attacking boxer wearing boxing gloves,pres
256,257,the referee presiding over the boxing match,the referee presiding over the boxing match,pres
257,258,a running dog pulling a sled,a running dog pulling a sled,pres
258,259,a sled pulled by a dog,a sled pulled by a dog,pres
259,260,a person on dogsleds,a person on dogsleds,pres
260,261,an adult athlete with naked upper body in places with pools,an adult athlete with naked upper body in places with pools,pres
261,262,water polo player with ball,water polo player with ball,pres
262,263,the swimming cap on the head of a water polo player,the swimming cap on the head of a water polo player,pres
263,264,barbell lifted above the head,barbell lifted above the head,pres
264,265,barbell on the chest,barbell on the chest,pres
265,266,a weightlifter with barbell below the lower body,a weightlifter with barbell below the lower body,pres
266,267,the wooden sword in the hand of a kendo player,the wooden sword in the hand of a kendo player,pres
267,268,a fencing athlete wearing a helmet,a fencing athlete wearing a helmet,pres
268,269,a kendo player in battle with another person,a kendo player in battle with another person,pres
269,270,referee of taekwondo match,referee of taekwondo match,pres
270,271,a taekwondo athlete wearing helmets,a taekwondo athlete wearing helmets,pres
271,272,a taekwondo athlete who is kicking,a taekwondo athlete who is kicking,pres
272,273,a kite for kite surfing,a kite for kite surfing,pres
273,274,a person who is surfing kites,a person who is surfing kites,pres
274,275,surfboard in kite surfing,surfboard in kite surfing,pres
275,276,partially damaged car,partially damaged car,pres
276,277,a motorcycle lying on the ground,a motorcycle lying on the ground,pres
277,278,overturned car,overturned car,pres
278,279,person covered with armor,person covered with armor,pres
279,280,the headdress of coser wearing skirt,the headdress of coser wearing skirt,pres
280,281,a bicycle worn by a helmet rider,a bicycle worn by a helmet rider,pres
281,282,a cyclist wearing a helmet on a bicycle,a cyclist wearing a helmet on a bicycle,pres
282,283,the goggles on the face of a cyclist wearing a helmet,the goggles on the face of a cyclist wearing a helmet,pres
283,284,the helmet on the head of the person on the slide,the helmet on the head of the person on the slide,pres
284,285,rope track of slide rope,rope track of slide rope,pres
285,286,a pair of gloves on a person's hands on the slide,a pair of gloves on a persons hands on the slide,pres
286,287,a person who is doing yoga in sleeveless vests,a person who is doing yoga in sleeveless vests,pres
287,288,woman stretching,woman stretching,pres
288,289,a person who sits with his feet folded on a yoga mat,a person who sits with his feet folded on a yoga mat,pres
289,290,a person squatting on the walking rope,a person squatting on the walking rope,pres
290,291,a person who stands upright on the walking rope,a person who stands upright on the walking rope,pres
291,292,a person standing on a rope with one foot,a person standing on a rope with one foot,pres
292,293,a person in open-top racing cars,a person in opentop racing cars,pres
293,294,motorcycle racing car running at a tilt,motorcycle racing car running at a tilt,pres
294,295,an open-top racing car,an opentop racing car,pres
295,296,blue stop sign with white letter p,blue stop sign with white letter p,pres
296,297,single parking space marked,single parking space marked,pres
297,298,car in parking space,car in parking space,pres
298,299,diabolo on the rope,diabolo on the rope,pres
299,300,diabolo flying in the air,diabolo flying in the air,pres
300,301,a person playing diabolo,a person playing diabolo,pres
301,302,dart stuck on the target,dart stuck on the target,pres
302,303,a person with darts,a person with darts,pres
303,304,target with darts,target with darts,pres
304,305,a person who kneels down to propose to the opposite sex,a person who kneels down to propose to the opposite sex,pres
305,306,the person who was proposed to on one knee,the person who was proposed to on one knee,pres
306,307,the thing held by the person who proposed on one knee,the thing held by the person who proposed on one knee,pres
307,308,hot air balloon with words on it,hot air balloon with words on it,pres
308,309,hot air balloon landing on the ground,hot air balloon landing on the ground,pres
309,310,fired hot air balloon,fired hot air balloon,pres
310,311,a sailboat,a sailboat,pres
311,312,a ship on the shore,a ship on the shore,pres
312,313,a boat with someone rowing on the water,a boat with someone rowing on the water,pres
313,314,origami that looks like a bird,origami that looks like a bird,pres
314,315,origami that looks like an animal,origami that looks like an animal,pres
315,316,origami that looks like flowers,origami that looks like flowers,abs
316,317,horseman without helmet,horseman without helmet,abs
317,318,dog not led by ropes outside,dog not led by ropes outside,abs
318,319,basketball untouched,basketball untouched,abs
319,320,dish without any spoons,dish without any spoons,abs
320,321,bartender without suit,bartender without suit,abs
321,322,pot without food,pot without food,abs
322,323,a sofa with no pillow on it in the room,a sofa with no pillow on it in the room,abs
323,324,cat not looking directly at the camera in the room,cat not looking directly at the camera in the room,abs
324,325,a bed without patterns on it,a bed without patterns on it,abs
325,326,a blackboard or whiteboard without any words in the classroom,a blackboard or whiteboard without any words in the classroom,abs
326,327,a bookshelf without people around,a bookshelf without people around,abs
327,328,a cake without cream on the surface,a cake without cream on the surface,abs
328,329,doughnut with no colored particles on the surface,doughnut with no colored particles on the surface,abs
329,330,vegetable-free hot dog,vegetablefree hot dog,abs
330,331,a flowerpot without flowers,a flowerpot without flowers,abs
331,332,incomplete apple,incomplete apple,abs
332,333,toothbrush not in people's hands,toothbrush not in peoples hands,abs
333,334,a chair where no one is sitting in the barber shop,a chair where no one is sitting in the barber shop,abs
334,335,a toy other than human toys,a toy other than human toys,abs
335,336,empty shopping cart in the supermarket,empty shopping cart in the supermarket,abs
336,337,non-human mask,nonhuman mask,abs
337,338,an unopened refrigerator,an unopened refrigerator,abs
338,339,a watch not on human wrists,a watch not on human wrists,abs
339,340,hanger without clothes,hanger without clothes,abs
340,341,non-shoulder bag without human body,nonshoulder bag without human body,abs
341,342,a fisher who stands on the shore and whose lower body is not submerged by water,a fisher who stands on the shore and whose lower body is not submerged by water,abs
342,343,a camera that no one holds,a camera that no one holds,abs
343,344,an unopened oven,an unopened oven,abs
344,345,a doctor or nurse wearing non-green clothes,a doctor or nurse wearing nongreen clothes,abs
345,346,a dancing woman with no knees exposed,a dancing woman with no knees exposed,abs
346,347,unused microphone stand on stage,unused microphone stand on stage,abs
347,348,a person who stands on the stage for speech but don't open their mouths,a person who stands on the stage for speech but dont open their mouths,abs
348,349,aircraft not on the ground,aircraft not on the ground,abs
349,350,a cable car without people inside,a cable car without people inside,abs
350,351,a person who didn't land or touch anything on the stage,a person who didnt land or touch anything on the stage,abs
351,352,a person who hugs another person but doesn't touch his face,a person who hugs another person but doesnt touch his face,abs
352,353,a woman in white wedding dress not beside any men in suits,a woman in white wedding dress not beside any men in suits,abs
353,354,a person in santa claus clothes without bags,a person in santa claus clothes without bags,abs
354,355,a person with a pen in one hand but not looking at the paper,a person with a pen in one hand but not looking at the paper,abs
355,356,a billiard ball with no numbers or patterns on its surface on the table,a billiard ball with no numbers or patterns on its surface on the table,abs
356,357,an unoccupied chessboard,an unoccupied chessboard,abs
357,358,a person at the conference table who is not seated,a person at the conference table who is not seated,abs
358,359,a person in cheerleading clothes who is not held in the air,a person in cheerleading clothes who is not held in the air,abs
359,360,a baseball player without a cap on his head,a baseball player without a cap on his head,abs
360,361,a person wearing football helmets but not running,a person wearing football helmets but not running,abs
361,362,athlete wearing non-white stockings on the green field,athlete wearing nonwhite stockings on the green field,abs
362,363,a person with a tennis racket and no feet left the ground,a person with a tennis racket and no feet left the ground,abs
363,364,a person standing at the table of table tennis who is not waving table tennis rackets,a person standing at the table of table tennis who is not waving table tennis rackets,abs
364,365,indoor volleyball not touched by hands,indoor volleyball not touched by hands,abs
365,366,a person who is not standing upright on the ski resort,a person who is not standing upright on the ski resort,abs
366,367,surfboard not on the beach,surfboard not on the beach,abs
367,368,a gymnast who is not touching anything in the air,a gymnast who is not touching anything in the air,abs
368,369,an empty swing bench,an empty swing bench,abs
369,370,an empty swimming pool,an empty swimming pool,abs
370,371,a male lion who is not lying,a male lion who is not lying,abs
371,372,parrot not on human body,parrot not on human body,abs
372,373,camel not lying on the ground,camel not lying on the ground,abs
373,374,red-crowned crane not standing on the ground,redcrowned crane not standing on the ground,abs
374,375,giant panda without all four feet on the ground,giant panda without all four feet on the ground,abs
375,376,an auto-salon girl without bare waist,an autosalon girl without bare waist,abs
376,377,a lion dance that is not upright,a lion dance that is not upright,abs
377,378,a rock climber without helmet,a rock climber without helmet,abs
378,379,non-burning torch,nonburning torch,abs
379,380,a butterfly that doesn't stop on flowers,a butterfly that doesnt stop on flowers,abs
380,381,aircraft flying in the air without smoke trail,aircraft flying in the air without smoke trail,abs
381,382,frisbee not held by anyone,frisbee not held by anyone,abs
382,383,golf ball not in the air,golf ball not in the air,abs
383,384,helicopter not flying in the air,helicopter not flying in the air,abs
384,385,well cover without words on the surface,well cover without words on the surface,abs
385,386,mailbox not marked with numbers,mailbox not marked with numbers,abs
386,387,a deer without antlers,a deer without antlers,abs
387,388,kangaroo not standing,kangaroo not standing,abs
388,389,woodpecker not on the side of the trunk,woodpecker not on the side of the trunk,abs
389,390,an eagle without wings,an eagle without wings,abs
390,391,a dolphin whose head is not above the water,a dolphin whose head is not above the water,abs
391,392,a seal not in the water,a seal not in the water,abs
392,393,a peacock who is not opening the screen,a peacock who is not opening the screen,abs
393,394,swan not in the water,swan not in the water,abs
394,395,hippo whose mouth are not open,hippo whose mouth are not open,abs
395,396,the moon that does not appear completely round,the moon that does not appear completely round,abs
396,397,a person whose eyes are invisible in sunglasses,a person whose eyes are invisible in sunglasses,abs
397,398,otter not in the water,otter not in the water,abs
398,399,volleyball in the middle of the air untouched on the beach,volleyball in the middle of the air untouched on the beach,abs
399,400,a street food truck without an umbrella,a street food truck without an umbrella,abs
400,401,a street performer without audience,a street performer without audience,abs
401,402,a person not wearing boxing gloves on the stage,a person not wearing boxing gloves on the stage,abs
402,403,a sled dog that is not running,a sled dog that is not running,abs
403,404,a water polo player who is in the water but does not hold the ball,a water polo player who is in the water but does not hold the ball,abs
404,405,a barbell held by a weightlifter that has not been lifted above the head,a barbell held by a weightlifter that has not been lifted above the head,abs
405,406,a kendo athlete without helmet,a kendo athlete without helmet,abs
406,407,a taekwondo athlete who is not kicking with their feets,a taekwondo athlete who is not kicking with their feets,abs
407,408,kite surfer who didn't touch the water,kite surfer who didnt touch the water,abs
408,409,a door that is not damaged on the damaged car,a door that is not damaged on the damaged car,abs
409,410,a girl with black hair and anime clothes,a girl with black hair and anime clothes,abs
410,411,a helmeted cyclist without companions in the race,a helmeted cyclist without companions in the race,abs
411,412,a person who wears a helmet and sling equipment but is not on the sling,a person who wears a helmet and sling equipment but is not on the sling,abs
412,413,a person on the yoga mat who is not meditating,a person on the yoga mat who is not meditating,abs
413,414,a person who doesn't touch the rope with both feet,a person who doesnt touch the rope with both feet,abs
414,415,non-convertible racing car,nonconvertible racing car,abs
415,416,stop sign with white letters on a blue background,stop sign with white letters on a blue background,abs
416,417,a diabolo not being played with rope,a diabolo not being played with rope,abs
417,418,a dart that doesn't stick to the target,a dart that doesnt stick to the target,abs
418,419,person who kneels on one knee and proposes but has nothing in his hand,person who kneels on one knee and proposes but has nothing in his hand,abs
419,420,hot air balloon without ignition,hot air balloon without ignition,abs
420,421,a boat that needs manual rowing but no one,a boat that needs manual rowing but no one,abs
421,422,origami unlike birds,origami unlike birds,abs
