,text,annotation_type,category,justification
29, child sitting at desks in the classroom,pres,Person,Indicates a human subject positioned at desks within a classroom.
30, a person standing in front of bookshelves in the library,pres,Spatial,Indicates the person’s position relative to the bookshelves.
31, the table someone is using in the library,pres,Spatial,Indicates the location of the table within the library setting.
32, a person who touches books in the library,pres,Action,Indicates the action of the person interacting with the books.
33, a person standing in front of the cake counter,pres,Spatial,Describes the person’s location relative to the cake counter.
34, a square plate full of cakes,pres,Attribute,"Describes the shape and content of the plate, highlighting its fullness."
35, a cake decorated with cream,pres,Attribute,Details the appearance of the cake through its decoration.
36, incomplete donut,pres,Attribute,"Describes the state of the donut, focusing on its lack of completeness."
37, donut with colored granules on the surface,pres,Attribute,Specifies the visual characteristics of the donut’s surface.
38, chocolate donut,pres,Attribute,Identifies the type of donut based on its flavor.
39, hot dog with vegetables,pres,Attribute,"Describes the contents of the hot dog, specifying the accompanying ingredients."
40, hot dog with sauce on the surface,pres,Attribute,"Details the visual characteristics of the hot dog, focusing on the sauce."
41, red sausage,pres,Attribute,Identifies the color of the sausage.
42, flowerpot with flowers potted inside,pres,Spatial,Indicates the position of the flowers within the flowerpot.
43, monochrome flowerpot,pres,Attribute,Describes the color scheme of the flowerpot.
44, a flowerpot filled with black soil,pres,Attribute,"Details the contents of the flowerpot, specifying the soil color."
45, apple growing on trees,pres,Spatial,Indicates the apple’s location and relationship to its surroundings.
46, red complete apple,pres,Attribute,Highlights a key characteristic of the apple – its color and state.
47, apple with a stalk,pres,Attribute,Focuses on a specific part of the apple – its stem.
48, a woman brushing her teeth,pres,Action,Depicts the action of the woman using a toothbrush.
49, toothbrush held by someone,pres,Spatial,Shows the location of the toothbrush relative to a person.
50, toilet brush with colored bristles,pres,Attribute,Describes a specific feature of the brush – its color.
51, a customer whose hair is being cut by barber,pres,Spatial,Indicates the location of the customer relative to the barber.
52, a barber at work,pres,Action,Suggests the barber is actively engaged in his profession.
53, cloth covering the barber,pres,Spatial,Shows the location of the cloth in relation to the barber.
54, a plastic toy,pres,Attribute,Describes the material of the toy – plastic.
55, a plush toy,pres,Attribute,Describes the texture and material of the toy – plush.
56, a humanoid toy,pres,Attribute,Describes the form of the toy - resembling a human.
57, shopping cart pushed by people in the supermarket,pres,Action,Represents the action of people moving a shopping cart.
58, shopping cart with people in the supermarket,pres,Spatial,Shows the location of the shopping cart and people within the supermarket.
59, shopping cart full of goods,pres,Spatial,Indicates the location and contents of the shopping cart.
60, a child wearing a mask,pres,Spatial,Indicates the mask is physically on the child’s face.
61, a mask on face with half a face exposed,pres,Spatial,Shows the mask positioned on the person’s facial area.
62, a mask on face with only eyes exposed,pres,Spatial,"Demonstrates the mask’s placement covering the majority of the face, leaving only the eyes visible."
63, refrigerator with fruit,pres,Object,Identifies the refrigerator and the presence of fruit within it.
64, a drink bottle in the refrigerator,pres,Spatial,Shows the drink bottle’s location inside the refrigerator.
65, refrigerator with more than two doors,pres,Object,Identifies the refrigerator and its physical characteristics.
66, a watch placed on a table or cloth,pres,Spatial,Describes the watch’s positioning on a flat surface.
67, a watch with three or more watch hands can be seen,pres,Attribute,Highlights a specific characteristic of the watch – the number of hands.
68, a watch with one or more small dials,pres,Attribute,Focuses on a specific feature of the watch – the dials.
69, clothes hanger,pres,Object,Identifies the clothing hanger as a standalone item.
70, a piece of clothing hanging on the hanger,pres,Spatial,Shows the clothing’s location and positioning on the hanger.
71, a piece of clothing worn on plastic models,pres,Spatial,Indicates the clothing is being displayed or presented with the models.
72, leather bag with glossy surface,pres,Object,Identifies the bag and its specific surface quality.
73, backpack,pres,Object,Identifies the backpack as a standalone item.
74, open package,pres,Object,Identifies the open package.
75, a fish held by people,pres,Interaction,Indicates a human-object relationship involving the holding of a fish.
76, a person who is fishing with a fishing rod,pres,Activity,Represents the action of fishing with a specific tool.
77, a fisherman standing on the shore with his body soaked in water,pres,Environment,Describes the setting and conditions of the fisherman’s activity.
78, camera hold on someones shoulder,pres,Attachment,Shows a camera positioned and supported by a person’s body.
79, a person being interviewed,pres,Role,Defines a specific role or situation involving a person and an interviewer.
80, a person with microphone hold in hand,pres,Possession,Highlights the person’s control and holding of a microphone.
81, one open oven,pres,State,Describes the physical state of the oven (open).
82, food in the oven,pres,Location,Specifies where the food is situated – inside the oven.
83, oven integrated with cabinet,pres,Design,Represents the architectural design and integration of the oven.
84, a mask on the face of a doctor or nurse,pres,Accessory,Identifies a mask worn as part of protective gear.
85, a doctor or nurse wearing green surgical clothes,pres,Attire,Shows the attire worn by a medical professional.
86, a person wearing surgical clothes and a mask,pres,Combination,Illustrates the combined use of protective clothing and a mask.
87, a dancing woman with her knees bare,pres,Pose,Captures a specific physical posture of a dancer.
88, man dancing,pres,Activity,Represents the act of dancing.
89, skirt worn by a dancer,pres,Clothing,Indicates the garment worn by a dancer.
90, a person playing guitar on stage,pres,Action,Indicates the activity of playing the guitar.
91, a microphone stand used by people,pres,Spatial,Indicates the location and use of the microphone stand.
92, guitar carried by person on stage,pres,Spatial,Shows the guitar’s position relative to the person on stage.
93, glasses on the face of a person on the stage,pres,Spatial,Indicates the glasses are on the person's head on stage.
94, a microphone on the stage,pres,Spatial,Shows the microphone’s location on the stage.
95, a person standing on the stage with open mouth,pres,Action,Indicates the person's posture and possibly expression on stage.
96, aircraft on the ground,pres,Spatial,Specifies the aircraft's location relative to the ground.
97, aircraft in the air,pres,Spatial,Specifies the aircraft’s location relative to the sky.
98, a person standing next to the plane,pres,Spatial,Indicates the person's position relative to the aircraft.
99, cable car hanging in the air,pres,Spatial,Specifies the cable car's location relative to the sky.
100, a person standing on the edge of a funicular,pres,Spatial,Indicates the person’s position relative to the funicular.
101, carriage of funicular,pres,Spatial,Describes the position of the funicular carriage.
102, an animal under the command of human,pres,Spatial,Indicates the animal’s location relative to the human.
103, an animal on stage,pres,Spatial,Shows the animal's location on the stage.
104, a person on the stage and in the air,pres,Spatial,Indicates the person’s dual location on stage and in the air.
105, a person who embraces another person face to face,pres,Interaction,Indicates a physical connection and close proximity between two people.
106, a person holding animals,pres,Action,Indicates the act of grasping or carrying animals.
107, an animal holding another animal,pres,Action,Indicates the act of grasping or carrying one animal by another.
108, woman in wedding dress next to a man in suit,pres,Spatial,Indicates the relative positions of two individuals in a scene.
109, man in suit next to a woman in wedding dress,pres,Spatial,Indicates the relative positions of two individuals in a scene.
110, flowers in the hands of a woman in white skirt,pres,Action,Indicates the act of holding flowers.
111, christmas tree full of decorations,pres,Object,Represents a specific object – a decorated Christmas tree.
112, a person wearing santa claus clothes,pres,Attribute,Describes the characteristic clothing worn by the individual.
113, bag carried by santa claus on the back or in the hand,pres,Action,Indicates the act of carrying a bag by a person.
114, a pen on written paper,pres,Spatial,Indicates the position of the pen relative to the paper.
115, written paper,pres,Object,Represents a specific object - a sheet of paper.
116, a person sitting with a pen in his hand,pres,Action,Indicates the act of holding a pen while sitting.
117, a person lying on the billiard table,pres,Spatial,Indicates the position of a person relative to the billiard table.
118, a billiard club held in a persons hand,pres,Action,Indicates the act of holding a billiard club.
119, a billiard ball touched by a billiard stick,pres,Action,Indicates the act of striking a billiard ball with a stick.
120, a chess board surrounded by people,pres,Spatial,Indicates the location and relationship of the chessboard within a group of people.
121, a person around the chessboard,pres,Spatial,Highlights the person’s proximity to the chessboard.
122, chess piece of horse head,pres,Object,Identifies the specific item – a chess piece shaped like a horse head.
123, computer in front of people at the conference table,pres,Spatial,Describes the location of the computer relative to the people at the table.
124, a person sitting at the conference table,pres,Spatial,Defines the person’s position – sitting – at the table.
125, white conference table,pres,Object,Specifies the color and nature of the conference table.
126, flower ball on the hands of cheerleaders,pres,Spatial,Indicates the location of the flower ball in relation to the cheerleaders.
127, the cheerleader who was lifted,pres,Action,Describes an action performed by the cheerleader.
128, a person trampled by cheerleaders,pres,Action,Describes the action of being trampled.
129, a baseball bat held in the hand,pres,Object,Identifies the specific item – a baseball bat being held.
130, an oversized glove worn on the left hand of a baseball player,pres,Object,Describes the item – a baseball glove – and its location on a player's hand.
131, a baseball player ready to bat,pres,Action,Indicates the player's state of preparedness for hitting the ball.
132, a person who attacks each other in football helmets,pres,Action,Describes the act of attacking within the context of football helmets.
133, white football helmet,pres,Object,Specifies the color and type of the football helmet.
134, a person running in a football helmet,pres,Action,Indicates the action of running while wearing a football helmet.
135, a running person in white stockings,pres,Action,Indicates a person is in motion and wearing white stockings.
136, an athlete wearing white stockings on the green field,pres,Spatial & Attribute,Describes the athlete’s location and the color of their stockings.
137, a soccer player with a soccer at his feet on the green field,pres,Spatial & Action,Depicts a soccer player’s location and the action of playing soccer.
138, a tennis racket held by someone on the tennis court,pres,Spatial & Attribute,Describes the location of the tennis racket and its color.
139, a person who wears a hat and holds a tennis racket on the tennis court,pres,Spatial & Attribute,Indicates location and describes the item held.
140, a person with tennis rackets and feet off the ground,pres,Action,Represents an action of a player.
141, a red table tennis racket held by someone,pres,Attribute & Spatial,Specifies the color and location of the table tennis racket.
142, table tennis over the table,pres,Spatial,Describes the location of the table tennis.
143, a person waving table tennis rackets at the table,pres,Action & Spatial,Illustrates a player’s action with the table tennis.
144, indoor volleyball flying in the air,pres,Action,Indicates the movement of the volleyball.
145, the player who is ready to bat with both feet leaving the ground in the room,pres,Action,Describes the action of a volleyball player.
146, indoor volleyball players with hands raised,pres,Action,Represents the players’ action during a volleyball game.
147, ski under the feet of a person,pres,Spatial,Describes the location of the ski relative to the person.
148, a person skiing,pres,Action,Represents the action of skiing.
149, a skier standing in the snow,pres,Spatial,Describes the skier's location and environment.
150, a person standing on the surfboard,pres,Spatial,Indicates the person’s position and interaction with the surfboard.
151, a surfboard on the beach,pres,Spatial,Describes the surfboard’s location and environment.
152, surfboard touched by human hands,pres,Interaction,Indicates a physical contact between the surfboard and a person.
153, an upsidedown gymnast,pres,Action,Describes the gymnast’s posture and the action being performed.
154, a gymnast who touches the bar,pres,Interaction,Indicates the gymnast’s physical contact with the apparatus.
155, an athlete holding the rings with both hands,pres,Interaction,Describes the athlete’s physical contact with the apparatus.
156, a smiling person on the swing,pres,Spatial & Action,Indicates the person’s location and that they are actively using the swing.
157, swing bench,pres,Spatial,Describes the location and type of the swing.
158, child on the swing,pres,Spatial & Action,Indicates the child’s location and the action of swinging.
159, a person jumping into the pool,pres,Action,Describes the action of jumping into the pool.
160, a toy in the swimming pool,pres,Spatial,Indicates the toy’s location within the pool.
161, a person who only shows the head in the pool,pres,Spatial,Describes the person’s posture and position in the pool.
162, wild lioness,pres,Spatial,Indicates the lioness's location in the wild.
163, a male lion with a mane,pres,Attribute & Spatial,Describes the lion's attributes (mane) and its location.
164, a lion lying in the wild,pres,Spatial,Indicates the lion's location in the wild.
165, parrot on human head,pres,Spatial,Indicates the parrot's position relative to the human.
166, parrot eating,pres,Action,Indicates the parrot is performing the action of eating.
167, parrot on human shoulder,pres,Spatial,Indicates the parrot's position relative to the human.
168, a camel with single hump,pres,Attribute,Describes a specific characteristic of the camel.
169, camel with double humps,pres,Attribute,Describes a specific characteristic of the camel.
170, a prone camel,pres,Action,Indicates the camel is lying on its side.
171, redcrowned crane with wings,pres,Attribute,Describes a physical feature of the crane.
172, redcrowned crane standing on the ground,pres,Spatial,Indicates the crane's posture and location.
173, redcrowned crane with head lower than body,pres,Spatial,Describes the crane's posture and relative position.
174, a giant panda eating,pres,Action,Indicates the panda is performing the action of eating.
175, a giant panda on its four feet,pres,Spatial,Indicates the panda's posture and location.
176, red panda on the stomach,pres,Spatial,Indicates the red panda is positioned on its stomach.
177, an autosalon girl leaning against the car,pres,Action,Indicates the girl is performing the action of leaning.
178, car contacted by an autosalon girl,pres,Spatial,Indicates the girl is in contact with the car.
179, an autosalon girl in a skirt,pres,Attribute,Describes a garment worn by the girl.
180, lion dance coat,pres,Attributive,Refers to a specific garment worn as part of the lion dance.
181, person in the lion dance clothes,pres,Attributive,Describes a person wearing the lion dance costume.
182, an upright lion dance,pres,Action,Represents the performance of the lion dance itself.
183, rock climber in short,pres,Attribute,Describes the clothing worn by the rock climber.
184, climbers helmet,pres,Attribute,Indicates a specific piece of equipment used by the climber.
185, barearmed climber,pres,Attribute,Describes a characteristic of the climber’s appearance.
186, torch held by a person,pres,Attributive,Indicates the object and who is holding it.
187, person holding a torch,pres,Attributive,Indicates the person and the object they are holding.
188, burning torch,pres,Action,Describes the state of the torch – actively burning.
189, a butterfly with flat wings,pres,Attribute,Details a physical characteristic of the butterfly.
190, a butterfly resting on flowers,pres,Spatial,Describes the location of the butterfly relative to the flowers.
191, a butterfly with folded wings resting on a leaf,pres,Attribute,Combines a physical description with a location.
192, airplane with a smoke trail for show,pres,Attribute,Describes a visual characteristic of the airplane during the performance.
193, the aircraft at the front of the multiaircraft performance array,pres,Spatial,Indicates the aircraft’s position within the performance.
194, a plane flying to the right,pres,Action,Describes the movement of the airplane.
195, a dog with a frisbee in its mouth,pres,Object-Action,Describes the dog and the action of holding the frisbee.
196, person with frisbee,pres,Object-Action,Indicates a person holding a frisbee.
197, frisbee in the air,pres,Spatial,Depicts the frisbee’s location in the air.
198, a golfer in a hat,pres,Object-Action,"Shows a golfer wearing a hat, combining a person and an attribute."
199, a person with golf clubs,pres,Object-Action,Describes a person holding golf clubs.
200, golf in the air,pres,Spatial,Shows golf equipment suspended in the air.
201, a helicopter flying in the air,pres,Spatial,Illustrates a helicopter's movement and location.
202, helicopter with door open,pres,Object-Action,Represents a helicopter and its open door.
203, helicopter viewed from the bottom,pres,Spatial,Shows a perspective of the helicopter.
204, a well on the ground with its cover open,pres,Object-Action,Depicts a well and the open cover.
205, well with cover on the ground,pres,Object-Action,Shows a well with its cover on the ground.
206, well cover with text on the ground,pres,Spatial,Highlights the placement of the well cover with text.
207, mailbox marked with numbers,pres,Object-Action,Indicates a mailbox with a numerical marking.
208, red mailbox,pres,Attribute,Describes the color of the mailbox.
209, green mailbox,pres,Attribute,Describes the color of the mailbox.
210, horned deer,pres,Spatial,Indicates the deer’s position and potentially its physical features.
211, deer bowing to eat grass,pres,Action,Depicts the deer performing an action – bowing to consume vegetation.
212, running deer,pres,Action,"Shows the deer in motion, specifically running."
213, crouching kangaroo,pres,Spatial,"Describes the kangaroo's posture, indicating it is lowered to the ground."
214, standing kangaroo,pres,Spatial,Indicates the kangaroo’s upright posture.
215, a kangaroo that has physical contact with another kangaroo,pres,Spatial,Shows the spatial relationship between two kangaroos.
216, woodpecker on the side of the trunk,pres,Spatial,Describes the woodpecker’s location relative to the tree.
217, woodpecker pecking,pres,Action,Indicates the woodpecker's activity – performing an action with its beak.
218, a woodpecker with only its head exposed,pres,Spatial,Defines the woodpecker's position and how much of its body is visible.
219, flying eagle,pres,Action,Describes the eagle's movement through the air.
220, eagle standing on the branch,pres,Spatial,Indicates the eagle’s position relative to the branch.
221, an eagle with a white head,pres,Attribute,Focuses on a specific characteristic of the eagle – its head color.
222, halfbody dolphin on the water,pres,Spatial,Shows a portion of the dolphin's body within the aquatic environment.
223, a dolphin completely out of the water,pres,Spatial,Describes the dolphin's location – fully outside of the water.
224, a dolphin doing the same action as other dolphins,pres,Action,Depicts the dolphin performing a shared activity with other dolphins.
225, a seal in the water,pres,Spatial,Indicates the seal’s location within the water.
226, a seal on the shore,pres,Spatial,Indicates the seal’s location on the land surface.
227, a seal facing up to the sky,pres,Spatial,Describes the seal’s orientation and position relative to the sky.
228, peacock with open screen,pres,Attribute,Indicates a feature (the open screen) of the peacock.
229, fake peacock,pres,Attribute,Describes a characteristic of the peacock – that it is fake.
230, peacock standing on the grass,pres,Spatial,Indicates the peacock’s location and posture relative to the grass.
231, black swan with head facing back,pres,Spatial,Describes the swan’s position and orientation.
232, white swan in the water,pres,Spatial,Indicates the swan’s location and state within the water.
233, flying swan,pres,Action,Indicates the swan is performing the action of flying.
234, hippo with open mouth in the water,pres,Attribute,Highlights a specific feature - the open mouth - of the hippo.
235, hippo standing on the bank,pres,Spatial,Indicates the hippo’s position and location on the river bank.
236, hippo in potential water,pres,Spatial,Indicates the hippo’s location and state (potential) relative to the water.
237, you can see the moon on the crater,pres,Spatial,Describes the moon’s location relative to the crater.
238, partially blocked moon,pres,Attribute,Describes a characteristic of the moon - that it is partially blocked.
239, a house illuminated by the moon,pres,Spatial,Describes the house’s location and how it is being affected by the moon's light.
240, a man in dark glasses,pres,Attribute,Indicates the presence of dark glasses on the man.
241, a pair of sunglasses with eyes exposed on the face,pres,Spatial,Describes the spatial arrangement of the sunglasses and the exposed eyes.
242, a woman with dark glasses showing her eyes,pres,Spatial,Indicates the woman and the placement of the dark glasses relative to her face.
243, otter in water,pres,Spatial,Describes the location of the otter within the water environment.
244, otter on the ground,pres,Spatial,Indicates the otter’s position on a ground surface.
245, an otter with its face up to the sky,pres,Spatial,Describes the otter’s position and orientation in relation to the sky.
246, the woman who is hitting the ball in beach volleyball,pres,Action,Describes the action being performed by the woman.
247, volleyball hit on the beach,pres,Action,Indicates the action of hitting a volleyball.
248, volleyball players on the beach with their feet off the ground,pres,Action,Describes the action of volleyball players jumping.
249, a person who buy things from the food truck on the street,pres,Spatial,Describes the location of the person in relation to the food truck and the street.
250, a street food cart with an umbrella,pres,Spatial,Indicates the location and key features (umbrella) of the food cart.
251, staff in the food truck on the street,pres,Spatial,Describes the location of the people within the food truck on the street.
252, a person who plays music with musical instrument surrounded by spectators on the street,pres,Spatial,Describes the location and surroundings of the musician.
253, a person performing acrobatics surrounded by street audience,pres,Spatial,Indicates the location and surrounding audience of the acrobat.
254, a boxer wearing boxing gloves who is defending,pres,Action,Describes the action of a boxer defending themselves.
255, an attacking boxer wearing boxing gloves,pres,Action,Indicates the boxer's active engagement in a fight.
256, the referee presiding over the boxing match,pres,Spatial,Indicates the referee’s position within the boxing match.
257, a running dog pulling a sled,pres,Action,Describes the dog’s movement and its function of pulling the sled.
258, a sled pulled by a dog,pres,Spatial,Shows the spatial relationship between the sled and the dog.
259, a person on dogsleds,pres,Action,Represents the person’s activity of traveling on a dogsled.
260, an adult athlete with naked upper body in places with pools,pres,Attribute,Describes the athlete’s physical state (naked upper body) and location.
261, water polo player with ball,pres,Spatial,Shows the player and the ball's position in relation to each other.
262, the swimming cap on the head of a water polo player,pres,Spatial,Indicates the location of the swimming cap on the player’s head.
263, barbell lifted above the head,pres,Action,Describes the athlete’s movement of lifting the barbell.
264, barbell on the chest,pres,Spatial,Represents the barbell’s position relative to the weightlifter’s body.
265, a weightlifter with barbell below the lower body,pres,Spatial,Indicates the barbell’s position relative to the weightlifter’s body.
266, the wooden sword in the hand of a kendo player,pres,Spatial,Shows the location of the sword in relation to the kendo player.
267, a fencing athlete wearing a helmet,pres,Attribute,Describes the athlete’s protective equipment (helmet) and physical state.
268, a kendo player in battle with another person,pres,Action,Indicates a dynamic scene of combat between two people.
269, referee of taekwondo match,pres,Spatial,Indicates the referee’s position within the taekwondo match.
270, a taekwondo athlete wearing helmets,pres,Action,Indicates the athlete is performing a taekwondo move while wearing protective headgear.
271, a taekwondo athlete who is kicking,pres,Action,Focuses on the movement being performed by the athlete.
272, a kite for kite surfing,pres,Attribute,Describes a specific object associated with the activity of kite surfing.
273, a person who is surfing kites,pres,Action,Highlights the activity of riding kites in the water.
274, surfboard in kite surfing,pres,Object,Identifies the primary equipment used in kite surfing.
275, partially damaged car,pres,Condition,"Describes the state of the vehicle, emphasizing its damage."
276, a motorcycle lying on the ground,pres,Condition,"Indicates that the motorcycle is in a damaged state, specifically overturned."
277, overturned car,pres,Condition,Specifies the orientation and damage of the car.
278, person covered with armor,pres,Attribute,Describes the protective gear being worn by the individual.
279, the headdress of coser wearing skirt,pres,Attribute,Focuses on a specific piece of attire worn by the individual.
280, a bicycle worn by a helmet rider,pres,Object,Identifies the bicycle and the protective equipment attached to it.
281, a cyclist wearing a helmet on a bicycle,pres,Attribute,Describes both the person and the protective equipment they are using.
282, the goggles on the face of a cyclist wearing a helmet,pres,Attribute,Describes the protective eyewear worn in conjunction with the helmet.
283, the helmet on the head of the person on the slide,pres,Spatial,Indicates the location of the helmet relative to the person.
284, rope track of slide rope,pres,Object,Describes the structural element of the slide.
285, a pair of gloves on a persons hands on the slide,pres,Spatial,Indicates the gloves' location on the person’s hands during a slide.
286, a person who is doing yoga in sleeveless vests,pres,Action,Describes the activity (yoga) and a specific garment worn by the person.
287, woman stretching,pres,Action,Specifies the action being performed by the woman.
288, a person who sits with his feet folded on a yoga mat,pres,Spatial,Details the person’s posture and the surface they are sitting on.
289, a person squatting on the walking rope,pres,Action,Describes the action of squatting performed on the rope.
290, a person who stands upright on the walking rope,pres,Spatial,Indicates the person’s position and location on the walking rope.
291, a person standing on a rope with one foot,pres,Spatial,Describes the person's stance and location on the rope.
292, a person in opentop racing cars,pres,Spatial,Indicates the location of the person within the racing cars.
293, motorcycle racing car running at a tilt,pres,Action,Represents the movement and angle of the racing car.
294, an opentop racing car,pres,Spatial,Describes the location and type of racing car.
295, blue stop sign with white letter p,pres,Attribute,Specifies the color and a key characteristic of the stop sign.
296, single parking space marked,pres,Spatial,Indicates the location of the parking space and its marking.
297, car in parking space,pres,Spatial,Specifies the location of the car within the parking space.
298, diabolo on the rope,pres,Spatial,Indicates the location of the diabolo on the rope.
299, diabolo flying in the air,pres,Action,Represents the movement of the diabolo.
300, a person playing diabolo,pres,Action,Indicates the activity of playing the diabolo.
301, dart stuck on the target,pres,Spatial,Indicates the location of the dart relative to the target.
302, a person with darts,pres,Spatial,Indicates the person is holding the darts.
303, target with darts,pres,Spatial,Indicates the location of the darts relative to the target.
304, a person who kneels down to propose to the opposite sex,pres,Action,Indicates the action of proposing.
305, the person who was proposed to on one knee,pres,Spatial,Indicates the person’s position relative to the proposer.
306, the thing held by the person who proposed on one knee,pres,Spatial,Describes the object held by the person during the proposal.
307, hot air balloon with words on it,pres,Attribute,Highlights a key characteristic of the hot air balloon (having words).
308, hot air balloon landing on the ground,pres,Spatial,Indicates the location of the balloon relative to the ground.
309, fired hot air balloon,pres,Action,Indicates the action of the hot air balloon being launched.
310, a sailboat,pres,Attribute,Describes a key characteristic of the sailboat.
311, a ship on the shore,pres,Spatial,Indicates the location of the ship relative to the shore.
312, a boat with someone rowing on the water,pres,Action,Indicates the activity of rowing the boat.
313, origami that looks like a bird,pres,Attribute,Describes a key characteristic of the origami (resembling a bird).
314, origami that looks like an animal,pres,Attribute,Describes a key characteristic of the origami (resembling an animal).
315, origami that looks like flowers,abs,Form,Indicates the three-dimensional shape and resemblance to flowers.
316, horseman without helmet,abs,Attribute,Highlights the absence of a key element (helmet) associated with the horseman.
317, dog not led by ropes outside,abs,Attribute,Focuses on the lack of a traditional leash and restraint for the dog.
318, basketball untouched,abs,Attribute,Emphasizes the state of the basketball—its lack of being used.
319, dish without any spoons,abs,Attribute,Points out the absence of a standard utensil on the dish.
320, bartender without suit,abs,Attribute,Highlights the absence of a formal garment associated with the bartender’s profession.
321, pot without food,abs,Attribute,Focuses on the lack of contents within the pot.
322, a sofa with no pillow on it in the room,abs,Attribute,Indicates the missing accessory on the sofa.
323, cat not looking directly at the camera in the room,abs,Attribute,"Specifies the cat’s averted gaze, a deviation from typical portraiture."
324, a bed without patterns on it,abs,Attribute,Highlights the absence of a decorative or patterned element on the bed.
325, a blackboard or whiteboard without any words in the classroom,abs,Attribute,Focuses on the blank state of the writing surface.
326, a bookshelf without people around,abs,Attribute,Indicates the absence of human presence near the bookshelf.
327, a cake without cream on the surface,abs,Attribute,Emphasizes the lack of a standard topping on the cake.
328, doughnut with no colored particles on the surface,abs,Attribute,Specifies the absence of decorative elements on the doughnut's surface.
329, vegetablefree hot dog,abs,Attribute,Indicates the absence of a typical ingredient (vegetables) in the hot dog.
330, a flowerpot without flowers,abs,State,Indicates the absence of flowers in the flowerpot.
331, incomplete apple,abs,State,Indicates the apple is not fully formed or consumed.
332, toothbrush not in peoples hands,abs,State,Indicates the toothbrush is not being used or held by anyone.
333, a chair where no one is sitting in the barber shop,abs,State,Indicates the chair is unoccupied within the context of the barber shop.
334, a toy other than human toys,abs,Attribute,Specifies that the toy is not designed for or associated with humans.
335, empty shopping cart in the supermarket,abs,State,"Indicates the cart is devoid of items, signifying its empty condition."
336, nonhuman mask,abs,Attribute,Highlights that the mask is not intended for or worn by a human.
337, an unopened refrigerator,abs,State,Signifies the refrigerator’s unutilized and closed state.
338, a watch not on human wrists,abs,State,Indicates the watch is not worn or held by a human.
339, hanger without clothes,abs,State,Highlights the lack of clothing on the hanger.
340, nonshoulder bag without human body,abs,State,Indicates the bag is not being carried by or associated with a human.
341, a fisher who stands on the shore and whose lower body is not submerged by water,abs,State,"Describes the specific state of the fisher, emphasizing the water’s absence around his legs."
342, a camera that no one holds,abs,State,"Highlights the camera’s inactive state, emphasizing its absence of a user."
343, an unopened oven,abs,State,Signifies the oven’s unutilized and closed state.
344, a doctor or nurse wearing nongreen clothes,abs,Attribute,Specifies the color of the doctor or nurse's clothing.
345, a dancing woman with no knees exposed,abs,Action,"Indicates the woman is performing a dance, focusing on the movement."
346, unused microphone stand on stage,abs,Spatial,Describes the microphone stand’s location and state of disuse on the stage.
347, a person who stands on the stage for speech but dont open their mouths,abs,Spatial,Focuses on the person's position and lack of verbal activity on the stage.
348, aircraft not on the ground,abs,Spatial,Describes the aircraft’s location – not grounded.
349, a cable car without people inside,abs,Spatial,Describes the cable car’s location and lack of occupants.
350, a person who didnt land or touch anything on the stage,abs,Spatial,Focuses on the person’s position and lack of interaction with the stage.
351, a person who hugs another person but doesnt touch his face,abs,Action,"Indicates the action of hugging, while specifying a restriction on physical contact."
